manufacturer,model,price,car_details_url,fuel_type,vehicle_chasis
Hyundai,i10,"€ 249,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i10,Benzine,Hatchback
Hyundai,i20 MHEV,"€ 319,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i20-mhev,Benzine,Hatchback
Hyundai,Bayon MHEV,"€ 349,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/bayon-mhev,Benzine,SUV
Hyundai,IONIQ 5 Elektrisch,"€ 539,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/ioniq-5-ev,Elektriciteit,Hatchback
Hyundai,IONIQ 6 Elektrisch,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/ioniq-6-ev,Elektriciteit,Sedan
Hyundai,Tucson Hybrid,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-hybrid,Hybride benzine,SUV
Mitsubishi,Space Star,"€ 279,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/space-star,Benzine,Hatchback
Suzuki,Ignis MHEV,"€ 279,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/suzuki/ignis-mhev,Benzine,SUV
smart,Forfour Elektrisch,"€ 299,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=TT166G&condition=occasion,Volledig elektrisch,Micro-auto
Toyota,AYGO X,"€ 299,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/aygo-x,Benzine,Hatchback
Dacia,Sandero,"€ 324,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/sandero,Benzine,Hatchback
Mazda,2 MHEV,"€ 334,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/2-mhev,Benzine,Hatchback
Citroen,C3,"€ 339,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c3,Benzine,Hatchback
Mitsubishi,Colt,"€ 339,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/colt,Benzine,Hatchback
Seat,Ibiza,"€ 354,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/ibiza,Benzine,hatchback
Renault,Clio,"€ 354,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/clio,Benzine,Hatchback
Opel,Crossland,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P240JN&condition=occasion,Benzine,SUV
Fiat,500e Elektrisch,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev,Elektriciteit,Hatchback
Dacia,Sandero Stepway,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/sandero-stepway,Benzine,Hatchback
Opel,Corsa,"€ 369,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/corsa,Benzine,Hatchback
Peugeot,208,"€ 369,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/208,Benzine,hatchback
Kia,Stonic MHEV,"€ 379,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/stonic-mhev,Benzine,SUV
Renault,Clio Hybrid,"€ 384,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/clio-hybrid,Hybride Benzine,Hatchback
Mazda,2 Hybrid,"€ 389,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/2-hybrid,Hybride benzine,Hatchback
Volkswagen,e-Golf Elektrisch,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=TX329X&condition=occasion,Volledig elektrisch,Hatchback
Fiat,500e Elektrisch,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev,Elektriciteit,Hatchback
Dacia,Jogger,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/jogger,Benzine,MPV
Suzuki,Vitara MHEV,"€ 399,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/suzuki/vitara-mhev,Benzine,SUV
Seat,Arona,"€ 404,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/arona,Benzine,SUV
Peugeot,208 MHEV,"€ 409,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/208-mhev,Benzine,hatchback
BYD,Dolphin Elektrisch,"€ 409,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/byd/dolphin-ev,Elektriciteit,Hatchback
Volkswagen,Polo,"€ 409,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/polo,Benzine,Hatchback
Hyundai,i30 MHEV,"€ 409,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i30-mhev,Benzine,Hatchback
Opel,Astra Sports Tourer,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K300BR&condition=occasion,Benzine,Stationwagen
Nissan,Juke,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/juke,Benzine,SUV
Dacia,Duster,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/duster,Benzine,SUV
Citroen,C3 Aircross,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c3-aircross,Benzine,SUV
Mitsubishi,Colt Hybrid,"€ 419,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/colt-hybrid,Hybride benzine,Hatchback
Opel,Crossland,"€ 424,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/crossland,Benzine,SUV
Suzuki,S-Cross MHEV,"€ 434,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/suzuki/s-cross-mhev,benzine,SUV
Kia,Niro Elektrisch,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=ZS458N&condition=occasion,Volledig elektrisch,Hatchback
Audi,A1 Sportback,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a1-sportback,Benzine,Sportback
Opel,Corsa Electric Elektrisch,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/corsa-electric-ev,Elektriciteit,Hatchback
Citroen,C4,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c4,Benzine,Hatchback
Toyota,Yaris Cross,"€ 439,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris-cross,Benzine,Hatchback
Citroen,C4 X,"€ 444,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c4-x,Benzine,Hatchback
MG,4 Elektrisch,"€ 444,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/4-ev,Elektriciteit,Hatchback
Hyundai,i30 Wagon MHEV,"€ 444,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i30-wagon-mhev,Benzine,Stationwagen
Suzuki,Vitara Hybrid,"€ 449,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/suzuki/vitara-hybrid,Hybride benzine,SUV
Opel,Mokka,"€ 449,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/mokka,Benzine,SUV
Ford,Focus MHEV,"€ 449,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/focus-mhev,Benzine,Hatchback
Toyota,Yaris Cross Hybrid,"€ 454,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris-cross-hybrid,Hybride benzine,SUV
Mitsubishi,ASX MHEV,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/asx-mhev,Benzine,SUV
Opel,Astra,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra,Benzine,Hatchback
Mazda,3 sedan MHEV,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/3-sedan-mhev,Benzine,Sedan
Renault,Captur Hybrid,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/captur-hybrid,Hybride benzine,SUV
Fiat,600e Elektrisch,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/600e-ev,Elektriciteit,SUV
Toyota,Corolla Hybrid,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/corolla-hybrid,Hybride benzine,Hatchback
Opel,Mokka Electric Elektrisch,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/mokka-electric-ev,Elektriciteit,SUV
Mazda,3 hatchback MHEV,"€ 464,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/3-hatchback-mhev,Benzine,Hatchback
Peugeot,308,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308,Benzine,Hatchback
Nissan,Juke Hybrid,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/juke-hybrid,Hybride benzine,SUV
Volkswagen,Taigo,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/taigo,Benzine,SUV
Ford,Focus Wagon MHEV,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/focus-wagon-mhev,Benzine,Stationwagen
Nissan,Leaf Elektrisch,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/leaf-ev,Elektriciteit,Hatchback
